release_date_raw,time,actual,forecast,previous
"Jun 01, 1993 (May)",5:00,55.2,,53
"May 01, 1993 (Apr)",5:00,53,,58.1
"Apr 01, 1993 (Mar)",4:00,58.1,,59.7
"Mar 01, 1993 (Feb)",4:00,59.7,,63
"Feb 01, 1993 (Jan)",4:00,63,,61
"Jan 01, 1993 (Dec)",4:00,61,,58.8
"Dec 01, 1992 (Nov)",4:00,58.8,,53.8
"Nov 01, 1992 (Oct)",4:00,53.8,,51.1
"Oct 01, 1992 (Sep)",5:00,51.1,,58.8
"Sep 01, 1992 (Aug)",5:00,58.8,,59.5
"Aug 01, 1992 (Jul)",5:00,59.5,,59.8
"Jul 01, 1992 (Jun)",5:00,59.8,,60.9
"Jun 01, 1992 (May)",5:00,60.9,,59.1
"May 01, 1992 (Apr)",5:00,59.1,,63.3
"Apr 01, 1992 (Mar)",4:00,63.3,,58.3
"Mar 01, 1992 (Feb)",4:00,58.3,,49.6
"Feb 01, 1992 (Jan)",4:00,49.6,,49.5
"Jan 01, 1992 (Dec)",4:00,49.5,,53.5
"Dec 01, 1991 (Nov)",4:00,53.5,,58
"Nov 01, 1991 (Oct)",4:00,58,,60.7
"Oct 01, 1991 (Sep)",5:00,60.7,,60.1
"Sep 01, 1991 (Aug)",5:00,60.1,,55.6
"Aug 01, 1991 (Jul)",5:00,55.6,,58.4
"Jul 01, 1991 (Jun)",5:00,58.4,,48.9
"Jun 01, 1991 (May)",5:00,48.9,,46.1
"May 01, 1991 (Apr)",5:00,46.1,,42.4
"Apr 01, 1991 (Mar)",4:00,42.4,,39.2
"Mar 01, 1991 (Feb)",4:00,39.2,,38.1
"Feb 01, 1991 (Jan)",4:00,38.1,,38.5
"Jan 01, 1991 (Dec)",4:00,38.5,,40.4
"Dec 01, 1990 (Nov)",4:00,40.4,,43.1
"Nov 01, 1990 (Oct)",4:00,43.1,,44.9
"Oct 01, 1990 (Sep)",5:00,44.9,,45.5
"Sep 01, 1990 (Aug)",5:00,45.5,,46.7
"Aug 01, 1990 (Jul)",5:00,46.7,,52
"Jul 01, 1990 (Jun)",5:00,52,,51.7
"Jun 01, 1990 (May)",5:00,51.7,,53.7
"May 01, 1990 (Apr)",5:00,53.7,,52.3
"Apr 01, 1990 (Mar)",5:00,52.3,,52.5
"Mar 01, 1990 (Feb)",4:00,52.5,,49.1
"Feb 01, 1990 (Jan)",4:00,49.1,,50.4
"Jan 01, 1990 (Dec)",4:00,50.4,,49.3
"Dec 01, 1989 (Nov)",4:00,49.3,,49.3
"Nov 01, 1989 (Oct)",4:00,49.3,,46
"Oct 01, 1989 (Sep)",5:00,46,,45.2
"Sep 01, 1989 (Aug)",5:00,45.2,,45.8
"Aug 01, 1989 (Jul)",5:00,45.8,,45.6
"Jul 01, 1989 (Jun)",5:00,45.6,,50.7
"Jun 01, 1989 (May)",5:00,50.7,,53.1
"May 01, 1989 (Apr)",5:00,53.1,,52
"Apr 01, 1989 (Mar)",4:00,52,,57.3
"Mar 01, 1989 (Feb)",4:00,57.3,,57.3
